periodo_dia,zona_atual,proxima_zona,qtd_transicoes,prob_proxima_zona,label_transicao
tarde,3,1,327825,0.302904,P tarde | 3→1
manha,3,1,234365,0.285568,P manha | 3→1
noite,3,1,212552,0.32988,P noite | 3→1
tarde,1,3,126086,0.23642,P tarde | 1→3
manha,1,3,98437,0.255982,P manha | 1→3
tarde,4,2,95309,0.261929,P tarde | 4→2
tarde,1,5,89299,0.167442,P tarde | 1→5
tarde,3,4,84231,0.077828,P tarde | 3→4
noite,4,2,69857,0.294181,P noite | 4→2
noite,1,3,68628,0.229918,P noite | 1→3
tarde,4,3,64668,0.177721,P tarde | 4→3
manha,4,3,62106,0.234177,P manha | 4→3
noite,1,5,57593,0.192948,P noite | 1→5
manha,3,4,57010,0.069465,P manha | 3→4
manha,4,2,55549,0.209453,P manha | 4→2
manha,1,5,54550,0.141856,P manha | 1→5
noite,3,4,51080,0.079276,P noite | 3→4
manha,2,4,40775,0.446473,P manha | 2→4
madrugada,3,1,39335,0.390151,P madrugada | 3→1
manha,5,3,36954,0.296113,P manha | 5→3
